             f;      Abs(Zm);     Std(Abs);      Phi(Zm);     Std(Phi);       Re(Zm);       Im(Zm);     Time [s]
4.5000000e+004;      23.9602;       0.0061;    -0.037010;     0.000093;      23.9437;      -0.8866;   3492660522
3.9810717e+004;      24.1667;       0.0024;    -0.056848;     0.000104;      24.1276;      -1.3731;   3492660523
3.1622777e+004;      24.6065;       0.0009;    -0.091431;     0.000030;      24.5038;      -2.2467;   3492660525
2.5118864e+004;      25.1684;       0.0029;    -0.122720;     0.000029;      24.9791;      -3.0809;   3492660527
1.9952623e+004;      25.8232;       0.0012;    -0.151325;     0.000032;      25.5281;      -3.8928;   3492660529
1.5848932e+004;      26.5764;       0.0020;    -0.177593;     0.000027;      26.1584;      -4.6950;   3492660531
1.2589254e+004;      27.4420;       0.0010;    -0.202146;     0.000020;      26.8832;      -5.5096;   3492660532
1.0000000e+004;      28.4101;       0.0019;    -0.225317;     0.000017;      27.6920;      -6.3472;   3492660534
7.9432823e+003;      29.4889;       0.0006;    -0.247433;     0.000046;      28.5908;      -7.2223;   3492660536
6.3095734e+003;      30.7093;       0.0020;    -0.268376;     0.000038;      29.6100;      -8.1431;   3492660538
5.0118723e+003;      32.0850;       0.0026;    -0.288151;     0.000014;      30.7621;      -9.1179;   3492660540
3.9810717e+003;      33.5976;       0.0004;    -0.307054;     0.000031;      32.0261;     -10.1549;   3492660541
3.1622777e+003;      35.2908;       0.0009;    -0.324744;     0.000035;      33.4462;     -11.2601;   3492660543
2.5118864e+003;      37.1339;       0.0017;    -0.341544;     0.000030;      34.9890;     -12.4377;   3492660545
1.9952623e+003;      39.1889;       0.0016;    -0.356906;     0.000019;      36.7193;     -13.6917;   3492660547
1.5848932e+003;      41.4341;       0.0020;    -0.371074;     0.000013;      38.6140;     -15.0247;   3492660549
1.2589254e+003;      43.8839;       0.0001;    -0.383999;     0.000025;      40.6880;     -16.4403;   3492660550
1.0000000e+003;      46.6124;       0.0019;    -0.395292;     0.000019;      43.0178;     -17.9494;   3492660552
7.9432823e+002;      49.5410;       0.0013;    -0.405711;     0.000015;      45.5193;     -19.5525;   3492660554
6.3095734e+002;      52.6360;       0.0011;    -0.415743;     0.000023;      48.1522;     -21.2581;   3492660556
5.0118723e+002;      56.1666;       0.0029;    -0.423661;     0.000008;      51.2009;     -23.0901;   3492660558
3.9810717e+002;      59.8831;       0.0021;    -0.431535;     0.000027;      54.3933;     -25.0470;   3492660559
3.1622777e+002;      63.7209;       0.0018;    -0.439994;     0.000020;      57.6518;     -27.1409;   3492660561
2.5118864e+002;      68.0985;       0.0011;    -0.446485;     0.000003;      61.4229;     -29.4048;   3492660563
1.9952623e+002;      72.9552;       0.0013;    -0.451700;     0.000006;      65.6382;     -31.8446;   3492660565
1.5848932e+002;      77.8498;       0.0012;    -0.458494;     0.000011;      69.8094;     -34.4562;   3492660567
1.2589254e+002;      83.2440;       0.0019;    -0.464176;     0.000013;      74.4360;     -37.2672;   3492660568
1.0000000e+002;      89.5125;       0.0009;    -0.467155;     0.000022;      79.9215;     -40.3118;   3492660570
7.9432823e+001;      95.7670;       0.0007;    -0.471936;     0.000008;      85.2987;     -43.5368;   3492660572
6.3095734e+001;     102.6066;       0.0011;    -0.475536;     0.000002;      91.2221;     -46.9748;   3492660574
5.0118723e+001;     110.4435;       0.0027;    -0.476386;     0.000015;      98.1465;     -50.6462;   3492660576
3.9810717e+001;     118.3881;       0.0008;    -0.477928;     0.000015;     105.1227;     -54.4515;   3492660577
3.1622777e+001;     126.9758;       0.0017;    -0.477818;     0.000009;     112.7545;     -58.3889;   3492660579
2.5118864e+001;     136.2236;       0.0009;    -0.475881;     0.000018;     121.0877;     -62.4070;   3492660581
1.9952623e+001;     146.0878;       0.0025;    -0.472021;     0.000022;     130.1133;     -66.4242;   3492660583
1.5848932e+001;     156.5052;       0.0031;    -0.466213;     0.000013;     139.8025;     -70.3502;   3492660585
1.2589254e+001;     167.4138;       0.0029;    -0.458572;     0.000014;     150.1175;     -74.1088;   3492660587
1.0000000e+001;     178.7233;       0.0010;    -0.449323;     0.000007;     160.9835;     -77.6294;   3492660589
7.9432820e+000;     190.3311;       0.0076;    -0.438779;     0.000009;     172.3013;     -80.8592;   3492660591
6.3095730e+000;     202.1452;       0.0097;    -0.427424;     0.000022;     183.9596;     -83.7948;   3492660594
5.0118720e+000;     214.0926;       0.0104;    -0.415683;     0.000011;     195.8606;     -86.4538;   3492660596
3.9810720e+000;     226.1286;       0.0192;    -0.404050;     0.000031;     207.9200;     -88.9014;   3492660598
3.1622780e+000;     238.2100;       0.0292;    -0.393012;     0.000034;     220.0488;     -91.2280;   3492660601
