             f;      Abs(Zm);     Std(Abs);      Phi(Zm);     Std(Phi);       Re(Zm);       Im(Zm);     Time [s]
4.5000000e+004;      12.2195;       0.0049;    -0.006721;     0.000259;      12.2192;      -0.0821;   3492681772
3.9810717e+004;      12.3341;       0.0021;    -0.036757;     0.000177;      12.3258;      -0.4533;   3492681774
3.1622777e+004;      12.6157;       0.0014;    -0.087254;     0.000136;      12.5677;      -1.0994;   3492681775
2.5118864e+004;      12.9644;       0.0002;    -0.131596;     0.000045;      12.8523;      -1.7011;   3492681777
1.9952623e+004;      13.3872;       0.0015;    -0.171400;     0.000028;      13.1911;      -2.2834;   3492681779
1.5848932e+004;      13.8720;       0.0015;    -0.207699;     0.000037;      13.5739;      -2.8605;   3492681781
1.2589254e+004;      14.4268;       0.0008;    -0.241058;     0.000052;      14.0096;      -3.4441;   3492681783
1.0000000e+004;      15.0652;       0.0006;    -0.272293;     0.000009;      14.5102;      -4.0516;   3492681784
7.9432823e+003;      15.7821;       0.0014;    -0.301923;     0.000028;      15.0682;      -4.6929;   3492681786
6.3095734e+003;      16.5906;       0.0009;    -0.330171;     0.000019;      15.6945;      -5.3787;   3492681788
5.0118723e+003;      17.5039;       0.0013;    -0.356930;     0.000034;      16.4007;      -6.1159;   3492681790
3.9810717e+003;      18.5525;       0.0013;    -0.382252;     0.000049;      17.2135;      -6.9203;   3492681792
3.1622777e+003;      19.7286;       0.0019;    -0.406149;     0.000046;      18.1237;      -7.7943;   3492681793
2.5118864e+003;      21.0410;       0.0019;    -0.428682;     0.000013;      19.1371;      -8.7462;   3492681795
1.9952623e+003;      22.5215;       0.0008;    -0.449436;     0.000064;      20.2849;      -9.7846;   3492681797
1.5848932e+003;      24.1935;       0.0022;    -0.467940;     0.000022;      21.5927;     -10.9125;   3492681799
1.2589254e+003;      26.0458;       0.0012;    -0.484509;     0.000046;      23.0480;     -12.1314;   3492681801
1.0000000e+003;      28.1401;       0.0026;    -0.498426;     0.000036;      24.7164;     -13.4522;   3492681802
7.9432823e+002;      30.4253;       0.0025;    -0.510421;     0.000025;      26.5472;     -14.8641;   3492681804
6.3095734e+002;      32.8667;       0.0023;    -0.521605;     0.000016;      28.4961;     -16.3766;   3492681806
5.0118723e+002;      35.7011;       0.0024;    -0.528349;     0.000021;      30.8329;     -17.9972;   3492681808
3.9810717e+002;      38.6852;       0.0017;    -0.535141;     0.000051;      33.2769;     -19.7280;   3492681810
3.1622777e+002;      41.7982;       0.0026;    -0.542348;     0.000005;      35.8002;     -21.5741;   3492681811
2.5118864e+002;      45.3889;       0.0014;    -0.545959;     0.000029;      38.7907;     -23.5676;   3492681813
1.9952623e+002;      49.3843;       0.0017;    -0.547670;     0.000017;      42.1614;     -25.7144;   3492681815
1.5848932e+002;      53.4161;       0.0013;    -0.552068;     0.000035;      45.4807;     -28.0140;   3492681817
1.2589254e+002;      57.8538;       0.0016;    -0.555218;     0.000016;      49.1633;     -30.4964;   3492681819
1.0000000e+002;      63.1124;       0.0024;    -0.553935;     0.000003;      53.6746;     -33.1995;   3492681820
7.9432823e+001;      68.3583;       0.0033;    -0.555893;     0.000024;      58.0656;     -36.0728;   3492681822
6.3095734e+001;      74.1205;       0.0003;    -0.556234;     0.000019;      62.9468;     -39.1350;   3492681824
5.0118723e+001;      80.7650;       0.0008;    -0.552491;     0.000012;      68.7488;     -42.3862;   3492681826
3.9810717e+001;      87.4869;       0.0006;    -0.550134;     0.000019;      74.5786;     -45.7383;   3492681828
3.1622777e+001;      94.7526;       0.0007;    -0.545664;     0.000004;      80.9929;     -49.1752;   3492681830
2.5118864e+001;     102.5399;       0.0003;    -0.539219;     0.000017;      87.9905;     -52.6508;   3492681831
1.9952623e+001;     110.8165;       0.0011;    -0.531102;     0.000008;      95.5515;     -56.1268;   3492681833
1.5848932e+001;     119.5393;       0.0036;    -0.521485;     0.000003;     103.6502;     -59.5507;   3492681835
1.2589254e+001;     128.6504;       0.0033;    -0.510598;     0.000006;     112.2413;     -62.8714;   3492681837
1.0000000e+001;     138.1116;       0.0028;    -0.498697;     0.000008;     121.2906;     -66.0563;   3492681839
7.9432820e+000;     147.8955;       0.0016;    -0.485924;     0.000014;     130.7756;     -69.0710;   3492681842
6.3095730e+000;     157.9659;       0.0092;    -0.472523;     0.000004;     140.6564;     -71.8957;   3492681844
5.0118720e+000;     168.2747;       0.0110;    -0.458719;     0.000016;     150.8786;     -74.5120;   3492681846
3.9810720e+000;     178.6745;       0.0168;    -0.444692;     0.000013;     161.2972;     -76.8621;   3492681849
3.1622780e+000;     189.3142;       0.0167;    -0.430752;     0.000045;     172.0208;     -79.0489;   3492681851
2.5118860e+000;     200.0414;       0.0274;    -0.416947;     0.000043;     182.9038;     -81.0109;   3492681854
1.9952620e+000;     210.7860;       0.0634;    -0.403574;     0.000070;     193.8521;     -82.7774;   3492681858
1.5848930e+000;     221.6507;       0.0581;    -0.390659;     0.000055;     204.9511;     -84.4040;   3492681862
1.2589250e+000;     232.5505;       0.0923;    -0.378376;     0.000055;     216.1012;     -85.9070;   3492681866
1.0000000e+000;     243.3367;       0.0692;    -0.367040;     0.000101;     227.1290;     -87.3224;   3492681871
7.9432800e-001;     254.2914;       0.1449;    -0.356365;     0.000031;     238.3145;     -88.7146;   3492681876
5.0118700e-001;     276.7676;       0.3077;    -0.338690;     0.000010;     261.0447;     -91.9565;   3492681884
3.1622800e-001;     299.3747;       0.3691;    -0.325249;     0.000166;     283.6787;     -95.6638;   3492681896
1.9952600e-001;     322.7156;       0.6695;    -0.315304;     0.000580;     306.8065;    -100.0750;   3492681912
1.2589300e-001;     347.2799;       1.1121;    -0.312768;     0.000646;     330.4315;    -106.8562;   3492681938
7.9433000e-002;     373.4658;       1.3525;    -0.310104;     0.002053;     355.6523;    -113.9603;   3492681981
5.0119000e-002;     400.5199;       1.3617;    -0.315575;     0.000980;     380.7419;    -124.3039;   3492682042
3.1623000e-002;     430.2765;       1.3440;    -0.320613;     0.003017;     408.3490;    -135.5933;   3492682141
1.9953000e-002;     464.5928;       2.5995;    -0.325608;     0.006278;     440.1744;    -148.5795;   3492682294
1.2589000e-002;     502.2828;       3.8031;    -0.334533;     0.007040;     474.4320;    -164.8549;   3492682537
