          f[Hz]        A[ohm]     phi[°]     dA[%]   dphi[°]  Rho[Ohm*m]   phi[mrad]   dphi[mrad] sigma2[mS/m]	sigma1[mS/m]
  249962.264151      3649.329   -21.5831    0.0006    0.0003      103.98     376.696     0.005236       3.5378       8.9433
  129600.000000      3899.938   -12.6201    0.0006    0.0003      111.12     220.262     0.005236       1.9663       8.7821
   60000.000000      4037.031    -6.7950    0.0011    0.0006      115.02     118.595     0.010472       1.0286       8.6329
   30000.000000      4105.149    -4.0586    0.0006    0.0004      116.96      70.836     0.006981       0.6051       8.5283
   15000.000000      4152.818    -2.5922    0.0006    0.0003      118.32      45.242     0.005236       0.3822       8.4429
    7500.000000      4190.495    -1.8207    0.0005    0.0003      119.39      31.777     0.005236       0.2661       8.3713
    3750.000000      4224.919    -1.4247    0.0004    0.0002      120.38      24.866     0.003491       0.2065       8.3048
    1875.000000      4257.926    -1.2377    0.0004    0.0002      121.32      21.602     0.003491       0.1780       8.2410
     937.500000      4291.386    -1.1711    0.0004    0.0002      122.27      20.440     0.003491       0.1672       8.1769
     468.750000      4326.500    -1.1782    0.0004    0.0002      123.27      20.563     0.003491       0.1668       8.1106
     234.375000      4364.325    -1.2333    0.0003    0.0002      124.35      21.525     0.003491       0.1731       8.0401
     117.187500      4405.468    -1.3227    0.0003    0.0002      125.52      23.085     0.003491       0.1839       7.9647
      70.312500      4438.449    -1.4061    0.0007    0.0004      126.46      24.541     0.006981       0.1940       7.9053
      35.156250      4487.291    -1.5464    0.0050    0.0029      127.85      26.990     0.050615       0.2111       7.8187
      17.578125      4542.136    -1.7091    0.0003    0.0002      129.41      29.829     0.003491       0.2305       7.7237
       8.789062      4603.070    -1.9019    0.0252    0.0145      131.15      33.194     0.253073       0.2531       7.6207
       4.394531      4673.381    -2.1236    0.0328    0.0188      133.15      37.064     0.328122       0.2783       7.5050
       2.197266      4754.615    -2.3626    0.0281    0.0161      135.47      41.235     0.280998       0.3043       7.3756
       1.098633      4846.544    -2.5881    0.0427    0.0245      138.09      45.171     0.427606       0.3270       7.2344
       0.549316      4949.677    -2.7605    0.0479    0.0275      141.03      48.180     0.479966       0.3415       7.0827
       0.274658      5062.838    -2.8314    0.0057    0.0033      144.25      49.417     0.057596       0.3424       6.9240
       0.137329      5179.676    -2.8131    0.0437    0.0250      147.58      49.098     0.436332       0.3326       6.7679
       0.068665      5296.172    -2.6538    0.0680    0.0389      150.90      46.318     0.678933       0.3068       6.6199
       0.034332      5404.623    -2.3651    0.0741    0.0424      153.99      41.279     0.740020       0.2680       6.4885
       0.017166      5497.588    -1.9845    0.0593    0.0340      156.64      34.636     0.593412       0.2211       6.3804
       0.008583      5571.027    -1.5764    0.0454    0.0260      158.73      27.513     0.453786       0.1733       6.2977
       0.004292      5625.894    -1.2079   -0.0000    0.0000      160.29      21.082     0.000000       0.1315       6.2372
       0.002146      5671.760    -0.9236    0.0000    0.0000      161.60      16.120     0.000000       0.0997       6.1874
       0.001073      5701.438    -0.7007    0.0000    0.0000      162.44      12.230     0.000000       0.0753       6.1555
